,bat_order,player_id,player_name,how_out,minutes,runs,balls,fours,sixes,strike_rate,player,overs,maidens,runs_conceded,wickets,economy,dot_balls,extras,match_id,series_id,home_x,innings_no,innings_title,in_play,result,status,toss,home_scores,away_scores,home_y,away,venue,tournament,date,ipl_season
10467,,2353137.0,Lahiru Kumara,,,,,0.0,1.0,,,4.0,0.0,22.0,2.0,5.5,12.0,0.0,2547451,894,Ireland,2,Ireland Innings,No,Yes,Sri Lanka won by 70 runs,"Ireland, elected to field first","101 (18.3/20 ov, target 172)",171/7,Ireland,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi (night)",T20_W2021,2021-10-20,
10468,,2353149.0,Wanindu Hasaranga de Silva,,,,,0.0,0.0,,,4.0,0.0,12.0,1.0,3.0,14.0,0.0,2547451,894,Ireland,2,Ireland Innings,No,Yes,Sri Lanka won by 70 runs,"Ireland, elected to field first","101 (18.3/20 ov, target 172)",171/7,Ireland,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi (night)",T20_W2021,2021-10-20,
10469,,,,,,,,,,,bowler,,,,,,,,2547451,894,Ireland,2,Ireland Innings,No,Yes,Sri Lanka won by 70 runs,"Ireland, elected to field first","101 (18.3/20 ov, target 172)",171/7,Ireland,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi (night)",T20_W2021,2021-10-20,
10470,1.0,2970255.0,Mohammad Naim,c Bau b Morea,-,0.0,2.0,0.0,0.0,0,,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10471,2.0,1610820.0,Liton Das,c Bau b Vala,-,29.0,23.0,1.0,1.0,126.08,,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10472,3.0,168441.0,Shakib Al Hasan,c Amini b Vala,-,46.0,37.0,0.0,3.0,124.32,,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10473,4.0,168099.0,Mushfiqur Rahim,c Hiri b Atai,-,5.0,8.0,0.0,0.0,62.5,,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10474,5.0,168087.0,Mahmudullah,c Soper b Ravu,-,50.0,28.0,3.0,3.0,178.57,,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10475,6.0,2807997.0,Afif Hossain,c Ravu b Morea,-,21.0,14.0,3.0,0.0,150,,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10476,7.0,1232307.0,Nurul Hasan,c Bau b Ravu,-,0.0,1.0,0.0,0.0,0,,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10477,8.0,1887222.0,Mohammad Saifuddin,not out,-,19.0,6.0,1.0,2.0,316.66,,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10478,9.0,2499273.0,Mahedi Hasan,not out,-,2.0,3.0,0.0,0.0,66.66,,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10479,,,,,,,,,,,batter,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10480,,1615530.0,Taskin Ahmed,,,,,,,,,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10481,,992718.0,Mustafizur Rahman,,,,,,,,,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10482,,1572777.0,Kabua Morea,,,,,2.0,0.0,,,4.0,0.0,26.0,2.0,6.5,6.0,1.0,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10483,,3367683.0,Damien Ravu,,,,,4.0,1.0,,,4.0,0.0,40.0,2.0,10.0,6.0,4.0,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10484,,1722873.0,Chad Soper,,,,,2.0,5.0,,,4.0,0.0,53.0,0.0,13.25,6.0,2.0,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10485,,1261293.0,Sese Bau,,,,,0.0,1.0,,,2.0,0.0,20.0,0.0,10.0,1.0,1.0,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10486,,75180.0,Assad Vala,,,,,0.0,2.0,,,3.0,0.0,26.0,2.0,8.66,5.0,0.0,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10487,,998952.0,Charles Amini,,,,,0.0,0.0,,,2.0,0.0,9.0,0.0,4.5,3.0,0.0,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10488,,3345111.0,Simon Atai,,,,,0.0,0.0,,,1.0,0.0,6.0,1.0,6.0,1.0,0.0,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10489,,,,,,,,,,,bowler,,,,,,,,2547453,894,Bangladesh,1,Bangladesh Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10490,1.0,1322982.0,Lega Siaka,lbw b Mohammad Saifuddin,-,5.0,10.0,0.0,0.0,50,,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10491,2.0,75180.0,Assad Vala,c Nurul Hasan b Taskin Ahmed,-,6.0,9.0,0.0,0.0,66.66,,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
